d,Delta_K,h_K,class_group,f,h,Nm_A,h_times_Nm_A,equals_f,status
53,-212,6,order 6,79,1,79,79,True,"steinitz (Nm(A)=79, form 2)"
53,-212,6,order 6,97,1,97,97,True,"steinitz (Nm(A)=97, form 4)"
53,-212,6,order 6,139,1,139,139,True,"steinitz (Nm(A)=139, form 1)"
53,-212,6,order 6,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
55,-55,4,Z/4Z,7,1,7,7,True,"steinitz (Nm(A)=7, form 1)"
55,-55,4,Z/4Z,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
55,-55,4,Z/4Z,13,1,13,13,True,"steinitz (Nm(A)=13, form 1)"
55,-55,4,Z/4Z,19,19,1,19,True,"free (no non-principal factorization, f likely inert)"
55,-55,4,Z/4Z,37,37,1,37,True,"free (no non-principal factorization, f likely inert)"
55,-55,4,Z/4Z,61,61,1,61,True,"free (no non-principal factorization, f likely inert)"
55,-55,4,Z/4Z,79,79,1,79,True,"free (no non-principal factorization, f likely inert)"
55,-55,4,Z/4Z,97,97,1,97,True,"free (no non-principal factorization, f likely inert)"
55,-55,4,Z/4Z,139,139,1,139,True,"free (no non-principal factorization, f likely inert)"
55,-55,4,Z/4Z,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
57,-228,4,Z/2Z x Z/2Z,7,7,1,7,True,"free (no non-principal factorization, f likely inert)"
57,-228,4,Z/2Z x Z/2Z,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
57,-228,4,Z/2Z x Z/2Z,13,13,1,13,True,"free (no non-principal factorization, f likely inert)"
57,-228,4,Z/2Z x Z/2Z,19,1,19,19,True,"steinitz (Nm(A)=19, form 2)"
57,-228,4,Z/2Z x Z/2Z,37,37,1,37,True,"free (no non-principal factorization, f likely inert)"
57,-228,4,Z/2Z x Z/2Z,61,61,1,61,True,"free (f rep by principal, x=2, y=1)"
57,-228,4,Z/2Z x Z/2Z,79,1,79,79,True,"steinitz (Nm(A)=79, form 2)"
57,-228,4,Z/2Z x Z/2Z,97,97,1,97,True,"free (no non-principal factorization, f likely inert)"
57,-228,4,Z/2Z x Z/2Z,139,139,1,139,True,"free (no non-principal factorization, f likely inert)"
57,-228,4,Z/2Z x Z/2Z,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
58,-232,2,Z/2Z,7,7,1,7,True,"free (no non-principal factorization, f likely inert)"
58,-232,2,Z/2Z,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
58,-232,2,Z/2Z,13,13,1,13,True,"free (no non-principal factorization, f likely inert)"
58,-232,2,Z/2Z,19,19,1,19,True,"free (no non-principal factorization, f likely inert)"
58,-232,2,Z/2Z,37,1,37,37,True,"steinitz (Nm(A)=37, form 1)"
58,-232,2,Z/2Z,61,1,61,61,True,"steinitz (Nm(A)=61, form 1)"
58,-232,2,Z/2Z,79,1,79,79,True,"steinitz (Nm(A)=79, form 1)"
58,-232,2,Z/2Z,97,97,1,97,True,"free (no non-principal factorization, f likely inert)"
58,-232,2,Z/2Z,139,139,1,139,True,"free (f rep by principal, x=9, y=1)"
58,-232,2,Z/2Z,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
59,-59,3,Z/3Z,7,1,7,7,True,"steinitz (Nm(A)=7, form 1)"
59,-59,3,Z/3Z,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
59,-59,3,Z/3Z,13,13,1,13,True,"free (no non-principal factorization, f likely inert)"
59,-59,3,Z/3Z,19,1,19,19,True,"steinitz (Nm(A)=19, form 1)"
59,-59,3,Z/3Z,37,37,1,37,True,"free (no non-principal factorization, f likely inert)"
59,-59,3,Z/3Z,61,61,1,61,True,"free (no non-principal factorization, f likely inert)"
59,-59,3,Z/3Z,79,1,79,79,True,"steinitz (Nm(A)=79, form 1)"
59,-59,3,Z/3Z,97,97,1,97,True,"free (no non-principal factorization, f likely inert)"
59,-59,3,Z/3Z,139,139,1,139,True,"free (f rep by principal, x=1, y=3)"
59,-59,3,Z/3Z,163,163,1,163,True,"free (f rep by principal, x=4, y=3)"
61,-244,6,order 6,7,1,7,7,True,"steinitz (Nm(A)=7, form 4)"
61,-244,6,order 6,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
61,-244,6,order 6,13,1,13,13,True,"steinitz (Nm(A)=13, form 2)"
61,-244,6,order 6,19,19,1,19,True,"free (no non-principal factorization, f likely inert)"
61,-244,6,order 6,37,37,1,37,True,"free (no non-principal factorization, f likely inert)"
61,-244,6,order 6,61,61,1,61,True,"free (f rep by principal, x=0, y=1)"
61,-244,6,order 6,79,1,79,79,True,"steinitz (Nm(A)=79, form 4)"
61,-244,6,order 6,97,97,1,97,True,"free (f rep by principal, x=6, y=1)"
61,-244,6,order 6,139,1,139,139,True,"steinitz (Nm(A)=139, form 4)"
61,-244,6,order 6,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
62,-248,8,order 8,7,1,7,7,True,"steinitz (Nm(A)=7, form 6)"
62,-248,8,order 8,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
62,-248,8,order 8,13,1,13,13,True,"steinitz (Nm(A)=13, form 4)"
62,-248,8,order 8,19,19,1,19,True,"free (no non-principal factorization, f likely inert)"
62,-248,8,order 8,37,1,37,37,True,"steinitz (Nm(A)=37, form 2)"
62,-248,8,order 8,61,1,61,61,True,"steinitz (Nm(A)=61, form 2)"
62,-248,8,order 8,79,79,1,79,True,"free (no non-principal factorization, f likely inert)"
62,-248,8,order 8,97,1,97,97,True,"steinitz (Nm(A)=97, form 6)"
62,-248,8,order 8,139,1,139,139,True,"steinitz (Nm(A)=139, form 2)"
62,-248,8,order 8,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
65,-260,8,order 8,7,7,1,7,True,"free (no non-principal factorization, f likely inert)"
65,-260,8,order 8,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
65,-260,8,order 8,13,1,13,13,True,"steinitz (Nm(A)=13, form 4)"
65,-260,8,order 8,19,1,19,19,True,"steinitz (Nm(A)=19, form 5)"
65,-260,8,order 8,37,1,37,37,True,"steinitz (Nm(A)=37, form 1)"
65,-260,8,order 8,61,1,61,61,True,"steinitz (Nm(A)=61, form 7)"
65,-260,8,order 8,79,79,1,79,True,"free (no non-principal factorization, f likely inert)"
65,-260,8,order 8,97,1,97,97,True,"steinitz (Nm(A)=97, form 4)"
65,-260,8,order 8,139,139,1,139,True,"free (no non-principal factorization, f likely inert)"
65,-260,8,order 8,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
66,-264,8,order 8,7,1,7,7,True,"steinitz (Nm(A)=7, form 6)"
66,-264,8,order 8,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
66,-264,8,order 8,13,1,13,13,True,"steinitz (Nm(A)=13, form 6)"
66,-264,8,order 8,19,19,1,19,True,"free (no non-principal factorization, f likely inert)"
66,-264,8,order 8,37,37,1,37,True,"free (no non-principal factorization, f likely inert)"
66,-264,8,order 8,61,1,61,61,True,"steinitz (Nm(A)=61, form 6)"
66,-264,8,order 8,79,1,79,79,True,"steinitz (Nm(A)=79, form 6)"
66,-264,8,order 8,97,1,97,97,True,"steinitz (Nm(A)=97, form 2)"
66,-264,8,order 8,139,139,1,139,True,"free (no non-principal factorization, f likely inert)"
66,-264,8,order 8,163,1,163,163,True,"steinitz (Nm(A)=163, form 2)"
67,-67,1,trivial,7,7,1,7,True,free (h_K=1)
67,-67,1,trivial,9,9,1,9,True,free (h_K=1)
67,-67,1,trivial,13,13,1,13,True,free (h_K=1)
67,-67,1,trivial,19,19,1,19,True,free (h_K=1)
67,-67,1,trivial,37,37,1,37,True,free (h_K=1)
67,-67,1,trivial,61,61,1,61,True,free (h_K=1)
67,-67,1,trivial,79,79,1,79,True,free (h_K=1)
67,-67,1,trivial,97,97,1,97,True,free (h_K=1)
67,-67,1,trivial,139,139,1,139,True,free (h_K=1)
67,-67,1,trivial,163,163,1,163,True,free (h_K=1)
69,-276,8,order 8,7,1,7,7,True,"steinitz (Nm(A)=7, form 6)"
69,-276,8,order 8,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
69,-276,8,order 8,13,1,13,13,True,"steinitz (Nm(A)=13, form 5)"
69,-276,8,order 8,19,1,19,19,True,"steinitz (Nm(A)=19, form 6)"
69,-276,8,order 8,37,37,1,37,True,"free (no non-principal factorization, f likely inert)"
69,-276,8,order 8,61,61,1,61,True,"free (no non-principal factorization, f likely inert)"
69,-276,8,order 8,79,1,79,79,True,"steinitz (Nm(A)=79, form 6)"
69,-276,8,order 8,97,97,1,97,True,"free (no non-principal factorization, f likely inert)"
69,-276,8,order 8,139,139,1,139,True,"free (no non-principal factorization, f likely inert)"
69,-276,8,order 8,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
70,-280,4,Z/2Z x Z/2Z,7,1,7,7,True,"steinitz (Nm(A)=7, form 3)"
70,-280,4,Z/2Z x Z/2Z,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
70,-280,4,Z/2Z x Z/2Z,13,13,1,13,True,"free (no non-principal factorization, f likely inert)"
70,-280,4,Z/2Z x Z/2Z,19,1,19,19,True,"steinitz (Nm(A)=19, form 2)"
70,-280,4,Z/2Z x Z/2Z,37,1,37,37,True,"steinitz (Nm(A)=37, form 1)"
70,-280,4,Z/2Z x Z/2Z,61,1,61,61,True,"steinitz (Nm(A)=61, form 2)"
70,-280,4,Z/2Z x Z/2Z,79,79,1,79,True,"free (f rep by principal, x=3, y=1)"
70,-280,4,Z/2Z x Z/2Z,97,1,97,97,True,"steinitz (Nm(A)=97, form 3)"
70,-280,4,Z/2Z x Z/2Z,139,1,139,139,True,"steinitz (Nm(A)=139, form 2)"
70,-280,4,Z/2Z x Z/2Z,163,1,163,163,True,"steinitz (Nm(A)=163, form 1)"
71,-71,7,order 7,7,7,1,7,True,"free (no non-principal factorization, f likely inert)"
71,-71,7,order 7,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
71,-71,7,order 7,13,13,1,13,True,"free (no non-principal factorization, f likely inert)"
71,-71,7,order 7,19,1,19,19,True,"steinitz (Nm(A)=19, form 1)"
71,-71,7,order 7,37,1,37,37,True,"steinitz (Nm(A)=37, form 1)"
71,-71,7,order 7,61,61,1,61,True,"free (no non-principal factorization, f likely inert)"
71,-71,7,order 7,79,1,79,79,True,"steinitz (Nm(A)=79, form 5)"
71,-71,7,order 7,97,97,1,97,True,"free (no non-principal factorization, f likely inert)"
71,-71,7,order 7,139,139,1,139,True,"free (no non-principal factorization, f likely inert)"
71,-71,7,order 7,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
73,-292,4,Z/4Z,7,1,7,7,True,"steinitz (Nm(A)=7, form 2)"
73,-292,4,Z/4Z,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
73,-292,4,Z/4Z,13,13,1,13,True,"free (no non-principal factorization, f likely inert)"
73,-292,4,Z/4Z,19,19,1,19,True,"free (no non-principal factorization, f likely inert)"
73,-292,4,Z/4Z,37,1,37,37,True,"steinitz (Nm(A)=37, form 1)"
73,-292,4,Z/4Z,61,1,61,61,True,"steinitz (Nm(A)=61, form 1)"
73,-292,4,Z/4Z,79,79,1,79,True,"free (no non-principal factorization, f likely inert)"
73,-292,4,Z/4Z,97,1,97,97,True,"steinitz (Nm(A)=97, form 1)"
73,-292,4,Z/4Z,139,1,139,139,True,"steinitz (Nm(A)=139, form 2)"
73,-292,4,Z/4Z,163,1,163,163,True,"steinitz (Nm(A)=163, form 2)"
74,-296,10,order 10,7,7,1,7,True,"free (no non-principal factorization, f likely inert)"
74,-296,10,order 10,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
74,-296,10,order 10,13,1,13,13,True,"steinitz (Nm(A)=13, form 6)"
74,-296,10,order 10,19,19,1,19,True,"free (no non-principal factorization, f likely inert)"
74,-296,10,order 10,37,1,37,37,True,"steinitz (Nm(A)=37, form 1)"
74,-296,10,order 10,61,1,61,61,True,"steinitz (Nm(A)=61, form 4)"
74,-296,10,order 10,79,1,79,79,True,"steinitz (Nm(A)=79, form 6)"
74,-296,10,order 10,97,97,1,97,True,"free (no non-principal factorization, f likely inert)"
74,-296,10,order 10,139,1,139,139,True,"steinitz (Nm(A)=139, form 2)"
74,-296,10,order 10,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
77,-308,8,order 8,7,1,7,7,True,"steinitz (Nm(A)=7, form 6)"
77,-308,8,order 8,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
77,-308,8,order 8,13,1,13,13,True,"steinitz (Nm(A)=13, form 4)"
77,-308,8,order 8,19,19,1,19,True,"free (no non-principal factorization, f likely inert)"
77,-308,8,order 8,37,1,37,37,True,"steinitz (Nm(A)=37, form 7)"
77,-308,8,order 8,61,1,61,61,True,"steinitz (Nm(A)=61, form 4)"
77,-308,8,order 8,79,1,79,79,True,"steinitz (Nm(A)=79, form 1)"
77,-308,8,order 8,97,97,1,97,True,"free (no non-principal factorization, f likely inert)"
77,-308,8,order 8,139,139,1,139,True,"free (no non-principal factorization, f likely inert)"
77,-308,8,order 8,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
78,-312,4,Z/2Z x Z/2Z,7,7,1,7,True,"free (no non-principal factorization, f likely inert)"
78,-312,4,Z/2Z x Z/2Z,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
78,-312,4,Z/2Z x Z/2Z,13,1,13,13,True,"steinitz (Nm(A)=13, form 3)"
78,-312,4,Z/2Z x Z/2Z,19,1,19,19,True,"steinitz (Nm(A)=19, form 3)"
78,-312,4,Z/2Z x Z/2Z,37,1,37,37,True,"steinitz (Nm(A)=37, form 3)"
78,-312,4,Z/2Z x Z/2Z,61,61,1,61,True,"free (no non-principal factorization, f likely inert)"
78,-312,4,Z/2Z x Z/2Z,79,79,1,79,True,"free (f rep by principal, x=1, y=1)"
78,-312,4,Z/2Z x Z/2Z,97,97,1,97,True,"free (no non-principal factorization, f likely inert)"
78,-312,4,Z/2Z x Z/2Z,139,139,1,139,True,"free (no non-principal factorization, f likely inert)"
78,-312,4,Z/2Z x Z/2Z,163,1,163,163,True,"steinitz (Nm(A)=163, form 3)"
79,-79,5,order 5,7,7,1,7,True,"free (no non-principal factorization, f likely inert)"
79,-79,5,order 5,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
79,-79,5,order 5,13,1,13,13,True,"steinitz (Nm(A)=13, form 1)"
79,-79,5,order 5,19,1,19,19,True,"steinitz (Nm(A)=19, form 3)"
79,-79,5,order 5,37,37,1,37,True,"free (no non-principal factorization, f likely inert)"
79,-79,5,order 5,61,61,1,61,True,"free (no non-principal factorization, f likely inert)"
79,-79,5,order 5,79,79,1,79,True,"free (f rep by principal, x=-1, y=2)"
79,-79,5,order 5,97,1,97,97,True,"steinitz (Nm(A)=97, form 3)"
79,-79,5,order 5,139,139,1,139,True,"free (no non-principal factorization, f likely inert)"
79,-79,5,order 5,163,1,163,163,True,"steinitz (Nm(A)=163, form 1)"
82,-328,4,Z/4Z,7,1,7,7,True,"steinitz (Nm(A)=7, form 2)"
82,-328,4,Z/4Z,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
82,-328,4,Z/4Z,13,1,13,13,True,"steinitz (Nm(A)=13, form 2)"
82,-328,4,Z/4Z,19,19,1,19,True,"free (no non-principal factorization, f likely inert)"
82,-328,4,Z/4Z,37,37,1,37,True,"free (no non-principal factorization, f likely inert)"
82,-328,4,Z/4Z,61,61,1,61,True,"free (no non-principal factorization, f likely inert)"
82,-328,4,Z/4Z,79,1,79,79,True,"steinitz (Nm(A)=79, form 2)"
82,-328,4,Z/4Z,97,97,1,97,True,"free (no non-principal factorization, f likely inert)"
82,-328,4,Z/4Z,139,1,139,139,True,"steinitz (Nm(A)=139, form 1)"
82,-328,4,Z/4Z,163,163,1,163,True,"free (f rep by principal, x=9, y=1)"
83,-83,3,Z/3Z,7,1,7,7,True,"steinitz (Nm(A)=7, form 1)"
83,-83,3,Z/3Z,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
83,-83,3,Z/3Z,13,13,1,13,True,"free (no non-principal factorization, f likely inert)"
83,-83,3,Z/3Z,19,19,1,19,True,"free (no non-principal factorization, f likely inert)"
83,-83,3,Z/3Z,37,1,37,37,True,"steinitz (Nm(A)=37, form 1)"
83,-83,3,Z/3Z,61,1,61,61,True,"steinitz (Nm(A)=61, form 1)"
83,-83,3,Z/3Z,79,79,1,79,True,"free (no non-principal factorization, f likely inert)"
83,-83,3,Z/3Z,97,97,1,97,True,"free (no non-principal factorization, f likely inert)"
83,-83,3,Z/3Z,139,139,1,139,True,"free (no non-principal factorization, f likely inert)"
83,-83,3,Z/3Z,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
85,-340,4,Z/2Z x Z/2Z,7,7,1,7,True,"free (no non-principal factorization, f likely inert)"
85,-340,4,Z/2Z x Z/2Z,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
85,-340,4,Z/2Z x Z/2Z,13,13,1,13,True,"free (no non-principal factorization, f likely inert)"
85,-340,4,Z/2Z x Z/2Z,19,19,1,19,True,"free (no non-principal factorization, f likely inert)"
85,-340,4,Z/2Z x Z/2Z,37,1,37,37,True,"steinitz (Nm(A)=37, form 2)"
85,-340,4,Z/2Z x Z/2Z,61,61,1,61,True,"free (no non-principal factorization, f likely inert)"
85,-340,4,Z/2Z x Z/2Z,79,1,79,79,True,"steinitz (Nm(A)=79, form 3)"
85,-340,4,Z/2Z x Z/2Z,97,1,97,97,True,"steinitz (Nm(A)=97, form 2)"
85,-340,4,Z/2Z x Z/2Z,139,1,139,139,True,"steinitz (Nm(A)=139, form 3)"
85,-340,4,Z/2Z x Z/2Z,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
86,-344,10,order 10,7,7,1,7,True,"free (no non-principal factorization, f likely inert)"
86,-344,10,order 10,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
86,-344,10,order 10,13,13,1,13,True,"free (no non-principal factorization, f likely inert)"
86,-344,10,order 10,19,1,19,19,True,"steinitz (Nm(A)=19, form 4)"
86,-344,10,order 10,37,1,37,37,True,"steinitz (Nm(A)=37, form 2)"
86,-344,10,order 10,61,1,61,61,True,"steinitz (Nm(A)=61, form 1)"
86,-344,10,order 10,79,1,79,79,True,"steinitz (Nm(A)=79, form 8)"
86,-344,10,order 10,97,1,97,97,True,"steinitz (Nm(A)=97, form 8)"
86,-344,10,order 10,139,139,1,139,True,"free (no non-principal factorization, f likely inert)"
86,-344,10,order 10,163,1,163,163,True,"steinitz (Nm(A)=163, form 4)"
87,-87,6,order 6,7,1,7,7,True,"steinitz (Nm(A)=7, form 4)"
87,-87,6,order 6,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
87,-87,6,order 6,13,1,13,13,True,"steinitz (Nm(A)=13, form 4)"
87,-87,6,order 6,19,19,1,19,True,"free (no non-principal factorization, f likely inert)"
87,-87,6,order 6,37,37,1,37,True,"free (no non-principal factorization, f likely inert)"
87,-87,6,order 6,61,61,1,61,True,"free (no non-principal factorization, f likely inert)"
87,-87,6,order 6,79,79,1,79,True,"free (no non-principal factorization, f likely inert)"
87,-87,6,order 6,97,97,1,97,True,"free (no non-principal factorization, f likely inert)"
87,-87,6,order 6,139,1,139,139,True,"steinitz (Nm(A)=139, form 4)"
87,-87,6,order 6,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
89,-356,12,order 12,7,1,7,7,True,"steinitz (Nm(A)=7, form 8)"
89,-356,12,order 12,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
89,-356,12,order 12,13,13,1,13,True,"free (no non-principal factorization, f likely inert)"
89,-356,12,order 12,19,1,19,19,True,"steinitz (Nm(A)=19, form 6)"
89,-356,12,order 12,37,37,1,37,True,"free (no non-principal factorization, f likely inert)"
89,-356,12,order 12,61,61,1,61,True,"free (no non-principal factorization, f likely inert)"
89,-356,12,order 12,79,79,1,79,True,"free (no non-principal factorization, f likely inert)"
89,-356,12,order 12,97,1,97,97,True,"steinitz (Nm(A)=97, form 10)"
89,-356,12,order 12,139,139,1,139,True,"free (no non-principal factorization, f likely inert)"
89,-356,12,order 12,163,1,163,163,True,"steinitz (Nm(A)=163, form 2)"
91,-91,2,Z/2Z,7,1,7,7,True,"steinitz (Nm(A)=7, form 1)"
91,-91,2,Z/2Z,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
91,-91,2,Z/2Z,13,1,13,13,True,"steinitz (Nm(A)=13, form 1)"
91,-91,2,Z/2Z,19,1,19,19,True,"steinitz (Nm(A)=19, form 1)"
91,-91,2,Z/2Z,37,37,1,37,True,"free (no non-principal factorization, f likely inert)"
91,-91,2,Z/2Z,61,61,1,61,True,"free (no non-principal factorization, f likely inert)"
91,-91,2,Z/2Z,79,79,1,79,True,"free (f rep by principal, x=7, y=1)"
91,-91,2,Z/2Z,97,1,97,97,True,"steinitz (Nm(A)=97, form 1)"
91,-91,2,Z/2Z,139,139,1,139,True,"free (no non-principal factorization, f likely inert)"
91,-91,2,Z/2Z,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
93,-372,4,Z/2Z x Z/2Z,7,7,1,7,True,"free (no non-principal factorization, f likely inert)"
93,-372,4,Z/2Z x Z/2Z,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
93,-372,4,Z/2Z x Z/2Z,13,13,1,13,True,"free (no non-principal factorization, f likely inert)"
93,-372,4,Z/2Z x Z/2Z,19,19,1,19,True,"free (no non-principal factorization, f likely inert)"
93,-372,4,Z/2Z x Z/2Z,37,37,1,37,True,"free (no non-principal factorization, f likely inert)"
93,-372,4,Z/2Z x Z/2Z,61,61,1,61,True,"free (no non-principal factorization, f likely inert)"
93,-372,4,Z/2Z x Z/2Z,79,1,79,79,True,"steinitz (Nm(A)=79, form 2)"
93,-372,4,Z/2Z x Z/2Z,97,97,1,97,True,"free (f rep by principal, x=2, y=1)"
93,-372,4,Z/2Z x Z/2Z,139,1,139,139,True,"steinitz (Nm(A)=139, form 2)"
93,-372,4,Z/2Z x Z/2Z,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
94,-376,8,order 8,7,1,7,7,True,"steinitz (Nm(A)=7, form 4)"
94,-376,8,order 8,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
94,-376,8,order 8,13,1,13,13,True,"steinitz (Nm(A)=13, form 6)"
94,-376,8,order 8,19,1,19,19,True,"steinitz (Nm(A)=19, form 2)"
94,-376,8,order 8,37,37,1,37,True,"free (no non-principal factorization, f likely inert)"
94,-376,8,order 8,61,61,1,61,True,"free (no non-principal factorization, f likely inert)"
94,-376,8,order 8,79,1,79,79,True,"steinitz (Nm(A)=79, form 1)"
94,-376,8,order 8,97,1,97,97,True,"steinitz (Nm(A)=97, form 1)"
94,-376,8,order 8,139,1,139,139,True,"steinitz (Nm(A)=139, form 6)"
94,-376,8,order 8,163,1,163,163,True,"steinitz (Nm(A)=163, form 6)"
95,-95,8,order 8,7,7,1,7,True,"free (no non-principal factorization, f likely inert)"
95,-95,8,order 8,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
95,-95,8,order 8,13,1,13,13,True,"steinitz (Nm(A)=13, form 1)"
95,-95,8,order 8,19,1,19,19,True,"steinitz (Nm(A)=19, form 7)"
95,-95,8,order 8,37,1,37,37,True,"steinitz (Nm(A)=37, form 3)"
95,-95,8,order 8,61,1,61,61,True,"steinitz (Nm(A)=61, form 5)"
95,-95,8,order 8,79,79,1,79,True,"free (no non-principal factorization, f likely inert)"
95,-95,8,order 8,97,1,97,97,True,"steinitz (Nm(A)=97, form 3)"
95,-95,8,order 8,139,1,139,139,True,"steinitz (Nm(A)=139, form 5)"
95,-95,8,order 8,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
97,-388,4,Z/4Z,7,1,7,7,True,"steinitz (Nm(A)=7, form 2)"
97,-388,4,Z/4Z,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
97,-388,4,Z/4Z,13,13,1,13,True,"free (no non-principal factorization, f likely inert)"
97,-388,4,Z/4Z,19,1,19,19,True,"steinitz (Nm(A)=19, form 2)"
97,-388,4,Z/4Z,37,37,1,37,True,"free (no non-principal factorization, f likely inert)"
97,-388,4,Z/4Z,61,1,61,61,True,"steinitz (Nm(A)=61, form 1)"
97,-388,4,Z/4Z,79,79,1,79,True,"free (no non-principal factorization, f likely inert)"
97,-388,4,Z/4Z,97,97,1,97,True,"free (f rep by principal, x=0, y=1)"
97,-388,4,Z/4Z,139,1,139,139,True,"steinitz (Nm(A)=139, form 2)"
97,-388,4,Z/4Z,163,163,1,163,True,"free (no non-principal factorization, f likely inert)"
101,-404,14,order 14,7,1,7,7,True,"steinitz (Nm(A)=7, form 8)"
101,-404,14,order 14,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
101,-404,14,order 14,13,1,13,13,True,"steinitz (Nm(A)=13, form 10)"
101,-404,14,order 14,19,19,1,19,True,"free (no non-principal factorization, f likely inert)"
101,-404,14,order 14,37,1,37,37,True,"steinitz (Nm(A)=37, form 6)"
101,-404,14,order 14,61,61,1,61,True,"free (no non-principal factorization, f likely inert)"
101,-404,14,order 14,79,79,1,79,True,"free (no non-principal factorization, f likely inert)"
101,-404,14,order 14,97,1,97,97,True,"steinitz (Nm(A)=97, form 4)"
101,-404,14,order 14,139,1,139,139,True,"steinitz (Nm(A)=139, form 8)"
101,-404,14,order 14,163,1,163,163,True,"steinitz (Nm(A)=163, form 1)"
102,-408,4,Z/2Z x Z/2Z,7,7,1,7,True,"free (no non-principal factorization, f likely inert)"
102,-408,4,Z/2Z x Z/2Z,9,9,1,9,True,"free (f rep by principal, x=3, y=0)"
102,-408,4,Z/2Z x Z/2Z,13,13,1,13,True,"free (no non-principal factorization, f likely inert)"
102,-408,4,Z/2Z x Z/2Z,19,19,1,19,True,"free (no non-principal factorization, f likely inert)"
102,-408,4,Z/2Z x Z/2Z,37,1,37,37,True,"steinitz (Nm(A)=37, form 2)"
102,-408,4,Z/2Z x Z/2Z,61,1,61,61,True,"steinitz (Nm(A)=61, form 2)"
102,-408,4,Z/2Z x Z/2Z,79,79,1,79,True,"free (no non-principal factorization, f likely inert)"
102,-408,4,Z/2Z x Z/2Z,97,97,1,97,True,"free (no non-principal factorization, f likely inert)"
